"NO","SCOPE","SEVERITY","DESCRIPTION"
"1","*","secure","Base config is configured to disallow clear text traffic to all domains."
"2","customer.bmwgroup.com","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"3","customer.bmwgroup.com","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256]"
"4","login.bmwusa.com","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"5","login.bmwusa.com","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256]"
"6","cocoapi.bmwgroup.com","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"7","cocoapi.bmwgroup.com","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256]"
"8","cocoapi.bmwgroup.us","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"9","cocoapi.bmwgroup.us","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256]"
"10","cocoapi.bmw.co.kr","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"11","cocoapi.bmw.co.kr","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256]"
"12","myprofile.bmw.com.cn","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"13","myprofile.bmw.com.cn","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256]"
"14","myprofile-hk.bmw.com.cn","secure","Domain config is securely configured to disallow clear text traffic to these domains in scope."
"15","myprofile-hk.bmw.com.cn","secure","Certificate pinning does not have an expiry. Ensure that pins are updated before certificate expire. [Pin: hETpgVvaLC0bvcGG3t0cuqiHvr4XyP2MTwCiqhgRWwU= Digest: SHA-256]"