"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.ACCESS_ADSERVICES_AD_ID","normal","allow app to access the device's advertising ID.","This ID is a unique, user-resettable identifier provided by Google's advertising services, allowing apps to track user behavior for advertising purposes while maintaining user privacy.",""
"android.permission.ACCESS_ADSERVICES_ATTRIBUTION","normal","allow applications to access advertising service attribution","This enables the app to retrieve information related to advertising attribution, which can be used for targeted advertising purposes. App can gather data about how users interact with ads, such as clicks or impressions, to measure the effectiveness of advertising campaigns.",""
"android.permission.ACCESS_COARSE_LOCATION","dangerous","coarse (network-based) location","Access coarse location sources, such as the mobile network database, to determine an approximate phone location, where available. Malicious applications can use this to determine approximately where you are.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/aqsmartphone/android/nissan/MapsAndNavigation/VehicleLocatorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/RangeInsight/RangeInsight.java"
"android.permission.ACCESS_FINE_LOCATION","dangerous","fine (GPS) location","Access fine location sources, such as the Global Positioning System on the phone, where available. Malicious applications can use this to determine where you are and may consume additional battery power.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/aqsmartphone/android/nissan/MapsAndNavigation/VehicleLocatorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/RangeInsight/RangeInsight.java"
"android.permission.ACCESS_NETWORK_STATE","normal","view network status","Allows an application to view the status of all networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/mobile/MobileConfig.java                                                                                                                                                                                                    com/adobe/mobile/StaticMethods.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/FourButtonWidgets/ThreeButtonWidget.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/HomeScreen/HomeScreenActivity.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SingleButtonWidget/DoorLock.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SingleButtonWidget/MycarFinder.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/AppUtils.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/widgetUtils/WidgetUtlis.java                                                                                                                                                                                                    com/bumptech/glide/manager/DefaultConnectivityMonitor.java                                                                                                                                                                                                    com/criticalblue/approovsdk/c.java                                                                                                                                                                                                    nissanleaf/cts/com/nissanlibrary/Connectivity/Utility/AppUtils.java"
"android.permission.ACCESS_WIFI_STATE","normal","view Wi-Fi status","Allows an application to view the information about the status of Wi-Fi.",""
"android.permission.CALL_PHONE","dangerous","directly call phone numbers","Allows the application to call phone numbers without your intervention. Malicious applications may cause unexpected calls on your phone bill. Note that this does not allow the application to call emergency numbers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/adobe/mobile/Analytics.java                                                                                                                                                                                                    com/adobe/mobile/MobileConfig.java"
"android.permission.CAMERA","dangerous","take pictures and videos","Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.",""
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.",""
"android.permission.GET_ACCOUNTS","dangerous","list accounts","Allows access to the list of accounts in the Accounts Service.",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/adobe/mobile/RemoteDownload.java                                                                                                                                                                                                    com/adobe/mobile/RequestHandler.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/MapsAndNavigation/VehicleLocatorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/RangeInsight/RangeInsight.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Settings/BoundaryAlertMapFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/UserZipLatLng.java                                                                                                                                                                                                    com/bumptech/glide/load/data/HttpUrlFetcher.java                                                                                                                                                                                                    com/criticalblue/approovsdk/k.java                                                                                                                                                                                                    com/criticalblue/approovsdk/t.java                                                                                                                                                                                                    io/approov/service/httpsurlconn/ApproovService.java                                                                                                                                                                                                    javax/xml/bind/ContextFinder.java                                                                                                                                                                                                    javax/xml/bind/JAXB.java                                                                                                                                                                                                    javax/xml/bind/helpers/AbstractUnmarshallerImpl.java                                                                                                                                                                                                    nissanleaf/cts/com/nissanlibrary/Connectivity/ConnectionManager.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java"
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/adobe/mobile/MessageNotificationHandler.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/NissanLeafApplication.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Services/MyFirebaseMessagingService.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/widgetUtils/AppStateDetector.java                                                                                                                                                                                                    com/bumptech/glide/request/target/NotificationTarget.java"
"android.permission.READ_EXTERNAL_STORAGE","dangerous","read external storage contents","Allows an application to read from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/adobe/mobile/MobileConfig.java                                                                                                                                                                                                    com/adobe/mobile/WearableDataRequest.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Settings/BoundaryAlertMapFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/FileUtil.java                                                                                                                                                                                                    com/bumptech/glide/disklrucache/DiskLruCache.java                                                                                                                                                                                                    com/bumptech/glide/load/model/FileLoader.java                                                                                                                                                                                                    com/criticalblue/approovsdk/isoproc/IsolatedService.java                                                                                                                                                                                                    nissanleaf/cts/com/nissanlibrary/Connectivity/ConnectionManager.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java"
"android.permission.READ_MEDIA_AUDIO","dangerous","allows reading audio files from external storage.","Allows an application to read audio files from external storage.",""
"android.permission.READ_MEDIA_IMAGES","dangerous","allows reading image files from external storage.","Allows an application to read image files from external storage.","Show Files                                                                                                                                                                                                                                                                                                                            com/aqsmartphone/android/nissan/Database/DatabaseHelper.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/FileUtils.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/UserSegmentation/VINErrorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/FileUtil.java                                                                                                                                                                                                    com/github/mikephil/charting/charts/Chart.java                                                                                                                                                                                                    com/github/mikephil/charting/utils/FileUtils.java                                                                                                                                                                                                    nissanleaf/cts/com/nissanlibrary/Connectivity/FilePath.java"
"android.permission.READ_MEDIA_VIDEO","dangerous","allows reading video files from external storage.","Allows an application to read video files from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                com/aqsmartphone/android/nissan/Database/DatabaseHelper.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/FileUtils.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/UserSegmentation/VINErrorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/FileUtil.java                                                                                                                                                                                                    com/github/mikephil/charting/charts/Chart.java                                                                                                                                                                                                    com/github/mikephil/charting/utils/FileUtils.java                                                                                                                                                                                                    nissanleaf/cts/com/nissanlibrary/Connectivity/FilePath.java"
"android.permission.READ_MEDIA_VISUAL_USER_SELECTED","dangerous","allows reading user-selected image or video files from external storage.","Allows an application to read image or video files from external storage that a user has selected via the permission prompt photo picker. Apps can check this permission to verify that a user has decided to use the photo picker, instead of granting access to READ_MEDIA_IMAGES or READ_MEDIA_VIDEO . It does not prevent apps from accessing the standard photo picker manually. This permission should be requested alongside READ_MEDIA_IMAGES and/or READ_MEDIA_VIDEO , depending on which type of media is desired.",""
"android.permission.READ_PHONE_STATE","dangerous","read phone state and identity","Allows the application to access the phone features of the device. An application with this permission can determine the phone number and serial number of this phone, whether a call is active, the number that call is connected to and so on.",""
"android.permission.RECEIVE_BOOT_COMPLETED","normal","automatically start at boot","Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/adobe/mobile/MessageNotificationHandler.java                                                                                                                                                                                                    com/adobe/mobile/MobileConfig.java                                                                                                                                                                                                    com/adobe/mobile/ReferralReceiver.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Charge/ChargingActivity.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/HomeScreen/HomeScreenFragmentNew.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SendToCar.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SendToCarNew.java                                                                                                                                                                                                    com/bumptech/glide/manager/DefaultConnectivityMonitor.java                                                                                                                                                                                                    com/criticalblue/approovsdk/c.java"
"android.permission.SET_TIME_ZONE","SignatureOrSystem","set time zone","Allows an application to change the phone's time zone.",""
"android.permission.USE_FINGERPRINT","normal","allow use of fingerprint","This constant was deprecated in API level 28. Applications should request USE_BIOMETRIC instead.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/aqsmartphone/android/nissan/FingerprintHandler.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Settings/SettingsActivity.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/UserSegmentation/LoginActivity.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/AppUtils.java"
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Charge/ChargingActivity.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Climate/ClimateFragmentNew.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/HomeScreen/HomeScreenActivity.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/HomeScreen/HomeScreenFragmentNew.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/MapsAndNavigation/VehicleLocatorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/NissanLeafApplication.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/RangeInsight/RangeInsight.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SendToCar.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SendToCarNew.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Settings/BoundaryAlertMapFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/SplashScreen/SplashScreenActivity.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/WearableServicePhone.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/widgetUtils/WidgetUtlis.java                                                                                                                                                                                                    net/sqlcipher/database/SQLiteDatabase.java"
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                        com/adobe/mobile/RemoteDownload.java                                                                                                                                                                                                    com/adobe/mobile/WearableDataResponse.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/UserSegmentation/VINErrorFragment.java                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/FileUtil.java                                                                                                                                                                                                    com/bumptech/glide/disklrucache/DiskLruCache.java                                                                                                                                                                                                    com/bumptech/glide/load/model/StreamEncoder.java                                                                                                                                                                                                    com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java                                                                                                                                                                                                    com/github/mikephil/charting/charts/Chart.java                                                                                                                                                                                                    javax/xml/bind/helpers/AbstractMarshallerImpl.java                                                                                                                                                                                                    net/sqlcipher/database/SQLiteDatabase.java                                                                                                                                                                                                    nissanleaf/cts/com/nissanlibrary/Connectivity/FilePath.java                                                                                                                                                                                                    nissanleaf/cts/com/nissanlibrary/Connectivity/Utility/FiileUtilsfromURI.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java"
"com.aqsmartphone.android.nissan.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION","unknown","Unknown permission","Unknown permission from android reference",""
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/aqsmartphone/android/nissan/Utilities/WearableServicePhone.java"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","normal","permission defined by google","A custom permission defined by Google.",""
"com.google.android.providers.gsf.permission.READ_GSERVICES","unknown","Unknown permission","Unknown permission from android reference",""