"NO","ISSUE","SEVERITY","STANDARDS","FILES","OPTIONS"
"1","App can read/write to External Storage. Any App can read data written to External Storage.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","Show Files                                                                                                                                com/aqsmartphone/android/nissan/Database/DatabaseHelper.java                                                                                                                                      com/aqsmartphone/android/nissan/FileUtils.java                                                                                                                                      com/aqsmartphone/android/nissan/UserSegmentation/VINErrorFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Utilities/FileUtil.java                                                                                                                                      com/github/mikephil/charting/charts/Chart.java                                                                                                                                      com/github/mikephil/charting/utils/FileUtils.java                                                                                                                                      nissanleaf/cts/com/nissanlibrary/Connectivity/FilePath.java","Suppress the rule android_read_write_external in com.aqsmartphone.android.nissan                         Suppress the rule android_read_write_external in com.aqsmartphone.android.nissan only from these files"
"2","The App logs information. Sensitive information should never be logged.","info","CWE: CWE-532: Insertion of Sensitive Information into Log File                                               OWASP MASVS: MSTG-STORAGE-3","Show Files                                                                                                                                com/aqsmartphone/android/nissan/AsyncTasks/ClimateActivateTask.java                                                                                                                                      com/aqsmartphone/android/nissan/AsyncTasks/RemoteRequestStatusTask.java                                                                                                                                      com/aqsmartphone/android/nissan/Charge/ChargingActivity.java                                                                                                                                      com/aqsmartphone/android/nissan/Climate/ClimateFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Climate/ClimateFragmentNew.java                                                                                                                                      com/aqsmartphone/android/nissan/Climate/ClimateTimerFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/DashboardControls/HornsandLightsFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/DashboardControls/LightsFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Database/DatabaseHelper.java                                                                                                                                      com/aqsmartphone/android/nissan/FourButtonWidgets/FourButtonWidget.java                                                                                                                                      com/aqsmartphone/android/nissan/HomeScreen/HomeScreenActivity.java                                                                                                                                      com/aqsmartphone/android/nissan/HomeScreen/HomeScreenFragmentNew.java                                                                                                                                      com/aqsmartphone/android/nissan/MapsAndNavigation/MapsNavigationFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/MapsAndNavigation/VehicleLocatorFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/MapsAndNavigation/WebViewFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/NissanLeafApplication.java                                                                                                                                      com/aqsmartphone/android/nissan/RangeInsight/RangeInsight.java                                                                                                                                      com/aqsmartphone/android/nissan/ReportsAndActivity/ActivityHistoryFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/ReportsAndActivity/DrivingRecordFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/ReportsAndActivity/EcoDriveEvaluationFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/ReportsAndActivity/EvEcoRankingFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/ReportsAndActivity/EvEcoTreeFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/ReportsAndActivity/WorldEcoRankingFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Settings/AddSpeedAlertFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Settings/CurfewAlertFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Settings/NewSpeedAlertFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Settings/SelectDateFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Settings/SpeedAlertFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Settings/ValetAlertFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/UserProfile/AddNewVehicleFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/UserSegmentation/WebViewActivity.java                                                                                                                                      com/aqsmartphone/android/nissan/Utilities/WearableServicePhone.java                                                                                                                                      com/aqsmartphone/android/nissan/Utils.java                                                                                                                                      com/bumptech/glide/Glide.java                                                                                                                                      com/bumptech/glide/disklrucache/DiskLruCache.java                                                                                                                                      com/bumptech/glide/gifdecoder/GifHeaderParser.java                                                                                                                                      com/bumptech/glide/gifdecoder/StandardGifDecoder.java                                                                                                                                      com/bumptech/glide/load/data/AssetPathFetcher.java                                                                                                                                      com/bumptech/glide/load/data/HttpUrlFetcher.java                                                                                                                                      com/bumptech/glide/load/data/LocalUriFetcher.java                                                                                                                                      com/bumptech/glide/load/data/mediastore/ThumbFetcher.java                                                                                                                                      com/bumptech/glide/load/data/mediastore/ThumbnailStreamOpener.java                                                                                                                                      com/bumptech/glide/load/engine/DecodeJob.java                                                                                                                                      com/bumptech/glide/load/engine/DecodePath.java                                                                                                                                      com/bumptech/glide/load/engine/Engine.java                                                                                                                                      com/bumptech/glide/load/engine/SourceGenerator.java                                                                                                                                      com/bumptech/glide/load/engine/bitmap_recycle/LruArrayPool.java                                                                                                                                      com/bumptech/glide/load/engine/bitmap_recycle/LruBitmapPool.java                                                                                                                                      com/bumptech/glide/load/engine/cache/DiskLruCacheWrapper.java                                                                                                                                      com/bumptech/glide/load/engine/cache/MemorySizeCalculator.java                                                                                                                                      com/bumptech/glide/load/engine/executor/GlideExecutor.java                                                                                                                                      com/bumptech/glide/load/engine/executor/RuntimeCompat.java                                                                                                                                      com/bumptech/glide/load/engine/prefill/BitmapPreFillRunner.java                                                                                                                                      com/bumptech/glide/load/model/ByteBufferEncoder.java                                                                                                                                      com/bumptech/glide/load/model/ByteBufferFileLoader.java                                                                                                                                      com/bumptech/glide/load/model/FileLoader.java                                                                                                                                      com/bumptech/glide/load/model/ResourceLoader.java                                                                                                                                      com/bumptech/glide/load/model/StreamEncoder.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/DefaultImageHeaderParser.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/Downsampler.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/DrawableToBitmapConverter.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/HardwareConfigState.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/TransformationUtils.java                                                                                                                                      com/bumptech/glide/load/resource/bitmap/VideoDecoder.java                                                                                                                                      com/bumptech/glide/load/resource/gif/ByteBufferGifDecoder.java                                                                                                                                      com/bumptech/glide/load/resource/gif/GifDrawableEncoder.java                                                                                                                                      com/bumptech/glide/load/resource/gif/StreamGifDecoder.java                                                                                                                                      com/bumptech/glide/manager/DefaultConnectivityMonitor.java                                                                                                                                      com/bumptech/glide/manager/DefaultConnectivityMonitorFactory.java                                                                                                                                      com/bumptech/glide/manager/RequestManagerFragment.java                                                                                                                                      com/bumptech/glide/manager/RequestManagerRetriever.java                                                                                                                                      com/bumptech/glide/manager/RequestTracker.java                                                                                                                                      com/bumptech/glide/manager/SupportRequestManagerFragment.java                                                                                                                                      com/bumptech/glide/module/ManifestParser.java                                                                                                                                      com/bumptech/glide/request/SingleRequest.java                                                                                                                                      com/bumptech/glide/request/target/CustomViewTarget.java                                                                                                                                      com/bumptech/glide/request/target/ViewTarget.java                                                                                                                                      com/bumptech/glide/util/ContentLengthInputStream.java                                                                                                                                      com/bumptech/glide/util/pool/FactoryPools.java                                                                                                                                      javax/xml/bind/helpers/DefaultValidationEventHandler.java                                                                                                                                      net/sqlcipher/database/SQLiteDatabase.java                                                                                                                                      net/sqlcipher/database/SQLiteDebug.java                                                                                                                                      net/sqlcipher/database/SQLiteQueryBuilder.java                                                                                                                                      nissanleaf/cts/com/nissanlibrary/Connectivity/ConnectionManager.java                                                                                                                                      nissanleaf/cts/com/nissanlibrary/Connectivity/Utility/SecurePreferences.java","Suppress the rule android_logging in com.aqsmartphone.android.nissan                         Suppress the rule android_logging in com.aqsmartphone.android.nissan only from these files"
"3","This App uses SQL Cipher. SQLCipher provides 256-bit AES encryption to sqlite database files.","info","OWASP MASVS: MSTG-CRYPTO-1","Show Files                                                                                                                                com/aqsmartphone/android/nissan/BaseActivity.java                                                                                                                                      com/aqsmartphone/android/nissan/Charge/ChargingActivity.java                                                                                                                                      com/aqsmartphone/android/nissan/Climate/ClimateFragmentNew.java                                                                                                                                      com/aqsmartphone/android/nissan/FourButtonWidgets/FourButtonWidgetItemFactory.java                                                                                                                                      com/aqsmartphone/android/nissan/FourButtonWidgets/service/LoginIntentService.java                                                                                                                                      com/aqsmartphone/android/nissan/FourButtonWidgets/service/PeriodicBackgroundService.java                                                                                                                                      com/aqsmartphone/android/nissan/FourButtonWidgets/service/WidgetIntentService.java                                                                                                                                      com/aqsmartphone/android/nissan/HomeScreen/HomeScreenActivity.java                                                                                                                                      com/aqsmartphone/android/nissan/HomeScreen/HomeScreenFragmentNew.java                                                                                                                                      com/aqsmartphone/android/nissan/HomeScreen/SettingsPage.java                                                                                                                                      com/aqsmartphone/android/nissan/MapsAndNavigation/VehicleLocatorFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/RangeInsight/RangeInsight.java                                                                                                                                      com/aqsmartphone/android/nissan/SplashScreen/SplashScreenActivity.java                                                                                                                                      com/aqsmartphone/android/nissan/UserProfile/MyProfileFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/UserProfile/MyVehicleFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/UserSegmentation/CongratulationsScreen.java                                                                                                                                      com/aqsmartphone/android/nissan/UserSegmentation/SVLFragment.java                                                                                                                                      com/aqsmartphone/android/nissan/Utilities/WearableServicePhone.java","Suppress the rule android_sql_cipher_aes256 in com.aqsmartphone.android.nissan                         Suppress the rule android_sql_cipher_aes256 in com.aqsmartphone.android.nissan only from these files"
"4","Files may contain hardcoded sensitive information like usernames, passwords, keys etc.","warning","CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14","Show Files                                                                                                                                com/adobe/mobile/AnalyticsTrackBeacon.java                                                                                                                                      com/adobe/mobile/AnalyticsTrackCoordinateSpace.java                                                                                                                                      com/adobe/mobile/AnalyticsTrackLifetimeValueIncrease.java                                                                                                                                      com/adobe/mobile/AnalyticsTrackLocation.java                                                                                                                                      com/adobe/mobile/AnalyticsTrackTimedAction.java                                                                                                                                      com/adobe/mobile/AudienceManagerWorker.java                                                                                                                                      com/adobe/mobile/Config.java                                                                                                                                      com/adobe/mobile/MediaAnalytics.java                                                                                                                                      com/adobe/mobile/MessageMatcher.java                                                                                                                                      com/adobe/mobile/MobileConfig.java                                                                                                                                      com/adobe/mobile/RequestBuilder.java                                                                                                                                      com/adobe/mobile/StaticMethods.java                                                                                                                                      com/aqsmartphone/android/nissan/AppConstants.java                                                                                                                                      com/aqsmartphone/android/nissan/Utilities/WearableServiceUtils.java                                                                                                                                      com/aqsmartphone/android/nissan/Utils.java                                                                                                                                      com/bumptech/glide/load/Option.java                                                                                                                                      com/bumptech/glide/load/engine/DataCacheKey.java                                                                                                                                      com/bumptech/glide/load/engine/EngineResource.java                                                                                                                                      com/bumptech/glide/load/engine/ResourceCacheKey.java                                                                                                                                      com/bumptech/glide/manager/RequestManagerRetriever.java                                                                                                                                      nissanleaf/cts/com/nissanlibrary/Connectivity/Utility/Constants.java","Suppress the rule android_hardcoded in com.aqsmartphone.android.nissan                         Suppress the rule android_hardcoded in com.aqsmartphone.android.nissan only from these files"
"5","The App uses the encryption mode CBC with PKCS5/PKCS7 padding. This configuration is vulnerable to padding oracle attacks.","high","CWE: CWE-649: Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-3","Show Files                                                                                                                                com/aqsmartphone/android/nissan/DashboardControls/LockAndUnlockFragment_Callback.java                                                                                                                                      com/aqsmartphone/android/nissan/HomeScreen/HomeScreenFragmentNew.java                                                                                                                                      com/aqsmartphone/android/nissan/Settings/FingerPrintActivity.java                                                                                                                                      com/aqsmartphone/android/nissan/Settings/SettingsActivity.java","Suppress the rule cbc_padding_oracle in com.aqsmartphone.android.nissan                         Suppress the rule cbc_padding_oracle in com.aqsmartphone.android.nissan only from these files"
"6","The App uses an insecure Random Number Generator.","warning","CWE: CWE-330: Use of Insufficiently Random Values                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-6","com/criticalblue/approovsdk/C0057r.java                                                                                                                            com/criticalblue/approovsdk/c.java","Suppress the rule android_insecure_random in com.aqsmartphone.android.nissan                         Suppress the rule android_insecure_random in com.aqsmartphone.android.nissan only from these files"
"7","Debug configuration enabled. Production builds must not be debuggable.","high","CWE: CWE-919: Weaknesses in Mobile Applications                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-RESILIENCE-2","com/bumptech/glide/BuildConfig.java                                                                                                                            com/bumptech/glide/gifdecoder/BuildConfig.java","Suppress the rule android_aar_jar_debug_enabled in com.aqsmartphone.android.nissan                         Suppress the rule android_aar_jar_debug_enabled in com.aqsmartphone.android.nissan only from these files"
"8","MD5 is a weak hash known to have hash collisions.","warning","CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4","com/adobe/mobile/RemoteDownload.java","Suppress the rule android_md5 in com.aqsmartphone.android.nissan                         Suppress the rule android_md5 in com.aqsmartphone.android.nissan only from these files"
"9","This App uses SSL certificate pinning to detect or  prevent MITM attacks in secure communication channel.","secure","OWASP MASVS: MSTG-NETWORK-4","Show Files                                                                                                                                com/criticalblue/approovsdk/k.java                                                                                                                                      com/criticalblue/approovsdk/t.java                                                                                                                                      io/approov/service/httpsurlconn/ApproovService.java                                                                                                                                      nissanleaf/cts/com/nissanlibrary/Connectivity/ConnectionManager.java","Suppress the rule android_ssl_pinning in com.aqsmartphone.android.nissan                         Suppress the rule android_ssl_pinning in com.aqsmartphone.android.nissan only from these files"
"10","App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.","warning","CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality","com/adobe/mobile/AnalyticsTrackTimedAction.java","Suppress the rule android_sql_raw_query in com.aqsmartphone.android.nissan                         Suppress the rule android_sql_raw_query in com.aqsmartphone.android.nissan only from these files"
"11","This App uses SafetyNet API.","secure","OWASP MASVS: MSTG-RESILIENCE-7","com/criticalblue/approovsdk/w.java","Suppress the rule android_safetynet in com.aqsmartphone.android.nissan                         Suppress the rule android_safetynet in com.aqsmartphone.android.nissan only from these files"
"12","App creates temp file. Sensitive information should never be written into a temp file.","warning","CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2","nissanleaf/cts/com/nissanlibrary/Connectivity/Utility/FiileUtilsfromURI.java","Suppress the rule android_temp_file in com.aqsmartphone.android.nissan                         Suppress the rule android_temp_file in com.aqsmartphone.android.nissan only from these files"